Frequency (Hz)	Level (dB)
2121.093750	-46.643997
2126.953125	-47.091274
2132.812500	-47.266685
2138.671875	-47.019161
2144.531250	-47.143215
2150.390625	-47.443470
2156.250000	-47.324284
2162.109375	-47.268185
2167.968750	-47.199661
2173.828125	-47.234161
2179.687500	-47.220478
2185.546875	-47.023735
2191.406250	-47.219933
2197.265625	-47.165501
2203.125000	-47.423126
2208.984375	-47.693401
2214.843750	-47.541245
2220.703125	-47.509521
2226.562500	-47.522408
2232.421875	-47.366646
2238.281250	-47.354733
2244.140625	-47.320980
2250.000000	-47.398155
2255.859375	-47.631577
2261.718750	-47.255466
2267.578125	-47.327728
2273.437500	-47.381901
2279.296875	-47.333344
2285.156250	-47.392948
2291.015625	-47.564075
2296.875000	-47.578342
2302.734375	-47.520679
2308.593750	-47.738785
2314.453125	-47.795696
2320.312500	-47.907619
2326.171875	-47.950516
2332.031250	-47.822983
2337.890625	-47.887676
2343.750000	-47.878811
2349.609375	-47.935665
2355.468750	-48.127846
2361.328125	-48.062214
2367.187500	-47.841011
2373.046875	-47.763214
2378.906250	-47.753185
2384.765625	-47.963703
2390.625000	-48.383904
2396.484375	-48.365509
2402.343750	-48.236748
2408.203125	-48.265205
2414.062500	-47.937347
2419.921875	-47.883942
2425.781250	-48.313721
2431.640625	-48.010998
2437.500000	-48.072277
2443.359375	-48.060719
2449.218750	-47.972164
2455.078125	-48.152737
2460.937500	-48.356823
2466.796875	-48.510670
2472.656250	-48.370686
2478.515625	-48.320377
2484.375000	-48.356232
2490.234375	-48.171738
2496.093750	-48.211182
2501.953125	-48.424545
2507.812500	-48.578396
2513.671875	-48.420364
2519.531250	-48.256557
2525.390625	-48.154675
2531.250000	-48.463322
2537.109375	-48.574711
2542.968750	-48.552074
2548.828125	-48.353676
2554.687500	-48.529930
2560.546875	-48.790638
2566.406250	-48.720081
2572.265625	-48.707668
2578.125000	-48.417839
2583.984375	-48.488262
2589.843750	-48.856815
2595.703125	-48.768272
2601.562500	-48.787567
2607.421875	-48.600407
2613.281250	-48.650974
2619.140625	-48.605328
2625.000000	-48.832062
2630.859375	-48.738605
2636.718750	-48.446125
2642.578125	-48.397373
2648.437500	-48.519276
2654.296875	-48.845921
2660.156250	-48.930908
2666.015625	-48.968445
2671.875000	-48.930950
2677.734375	-48.771774
2683.593750	-49.114132
2689.453125	-49.119591
2695.312500	-48.771774
2701.171875	-48.826077
2707.031250	-48.927242
2712.890625	-48.919880
2718.750000	-49.002113
2724.609375	-49.123173
2730.468750	-49.129936
2736.328125	-49.169277
2742.187500	-48.913681
2748.046875	-49.127918
2753.906250	-49.360260
2759.765625	-49.408997
2765.625000	-49.239414
2771.484375	-49.105232
2777.343750	-49.381626
2783.203125	-49.011978
2789.062500	-49.008038
2794.921875	-49.277950
2800.781250	-49.479416
2806.640625	-49.309223
2812.500000	-49.306854
2818.359375	-49.264633
2824.218750	-49.287521
2830.078125	-49.196487
2835.937500	-49.294922
2841.796875	-49.359901
2847.656250	-49.556496
2853.515625	-49.632393
2859.375000	-49.456142
2865.234375	-49.691807
2871.093750	-49.712143
2876.953125	-49.885220
2882.812500	-50.016006
2888.671875	-49.966568
2894.531250	-50.095699
2900.390625	-50.117496
2906.250000	-49.777515
2912.109375	-49.794827
2917.968750	-49.728615
2923.828125	-49.628529
2929.687500	-49.624706
2935.546875	-49.908241
2941.406250	-49.960865
2947.265625	-49.850227
2953.125000	-49.790852
2958.984375	-49.929443
2964.843750	-49.920937
2970.703125	-49.807446
2976.562500	-49.745872
2982.421875	-49.846783
2988.281250	-49.792259
2994.140625	-49.780071
3000.000000	-50.286297
3005.859375	-50.258507
3011.718750	-49.913635
3017.578125	-49.985180
3023.437500	-50.221039
3029.296875	-50.192066
3035.156250	-50.085781
3041.015625	-50.058292
3046.875000	-50.017498
3052.734375	-49.962540
3058.593750	-50.147659
3064.453125	-50.263847
3070.312500	-50.122231
3076.171875	-50.200756
3082.031250	-50.157509
3087.890625	-49.966091
3093.750000	-50.051559
3099.609375	-50.389301
3105.468750	-50.191582
3111.328125	-49.958733
3117.187500	-50.096882
3123.046875	-50.055641
3128.906250	-50.111465
3134.765625	-50.254074
3140.625000	-50.735844
3146.484375	-50.602547
3152.343750	-50.446625
3158.203125	-50.557369
3164.062500	-50.262001
3169.921875	-50.240940
3175.781250	-50.099453
3181.640625	-50.152889
3187.500000	-49.950897
3193.359375	-50.150059
3199.218750	-50.575378
3205.078125	-50.632004
3210.937500	-50.589352
3216.796875	-50.580116
3222.656250	-50.657997
3228.515625	-50.684429
3234.375000	-50.599590
3240.234375	-50.449390
3246.093750	-50.769573
3251.953125	-51.091881
3257.812500	-50.803749
3263.671875	-50.803272
3269.531250	-50.804821
3275.390625	-51.002300
3281.250000	-50.785675
3287.109375	-50.762039
3292.968750	-50.679295
3298.828125	-50.681892
3304.687500	-50.723091
3310.546875	-50.749004
3316.406250	-50.593254
3322.265625	-50.759132
3328.125000	-50.826103
3333.984375	-50.924690
3339.843750	-50.774181
3345.703125	-50.893478
3351.562500	-50.823311
3357.421875	-50.812630
3363.281250	-50.696075
3369.140625	-50.848282
3375.000000	-51.010971
3380.859375	-51.067089
3386.718750	-51.057152
3392.578125	-50.741543
