Frequency (Hz)	Level (dB)
3650.390625	-51.607342
3656.250000	-51.550179
3662.109375	-51.477360
3667.968750	-51.509892
3673.828125	-51.776871
3679.687500	-51.855209
3685.546875	-51.600315
3691.406250	-51.694115
3697.265625	-51.615414
3703.125000	-51.842999
3708.984375	-51.870937
3714.843750	-51.711395
3720.703125	-51.872581
3726.562500	-51.747383
3732.421875	-51.756298
3738.281250	-51.656708
3744.140625	-51.506622
3750.000000	-51.617050
3755.859375	-52.014332
3761.718750	-52.152390
3767.578125	-52.064991
3773.437500	-52.310074
3779.296875	-52.348545
3785.156250	-52.091026
3791.015625	-52.128395
3796.875000	-51.980457
3802.734375	-51.869473
3808.593750	-51.912991
3814.453125	-51.875328
3820.312500	-51.980453
3826.171875	-51.997108
3832.031250	-51.992367
3837.890625	-51.968422
3843.750000	-52.025654
3849.609375	-52.134724
3855.468750	-52.216354
3861.328125	-52.033234
3867.187500	-51.958412
3873.046875	-51.842602
3878.906250	-51.993793
3884.765625	-52.305233
3890.625000	-52.274818
3896.484375	-52.172058
3902.343750	-51.991364
3908.203125	-52.182995
3914.062500	-52.261868
3919.921875	-52.251766
3925.781250	-52.466782
3931.640625	-52.589474
3937.500000	-52.305550
3943.359375	-52.005863
3949.218750	-52.333076
3955.078125	-52.387974
3960.937500	-52.223518
3966.796875	-51.936600
3972.656250	-52.055260
3978.515625	-52.683586
3984.375000	-52.549919
3990.234375	-52.340378
3996.093750	-52.394283
4001.953125	-52.521442
4007.812500	-52.394852
4013.671875	-52.310886
4019.531250	-52.493050
4025.390625	-52.578064
4031.250000	-52.381790
4037.109375	-52.305218
4042.968750	-52.532578
4048.828125	-52.578659
4054.687500	-52.518944
4060.546875	-52.524326
4066.406250	-52.432594
4072.265625	-52.491428
4078.125000	-52.721638
4083.984375	-52.579563
4089.843750	-52.603664
4095.703125	-52.619011
4101.562500	-52.746922
4107.421875	-52.656776
4113.281250	-52.697315
4119.140625	-52.578403
4125.000000	-52.645500
4130.859375	-52.679951
4136.718750	-52.806534
4142.578125	-52.843105
4148.437500	-52.831097
4154.296875	-52.822472
4160.156250	-52.865284
4166.015625	-52.701946
4171.875000	-52.651981
4177.734375	-52.892605
4183.593750	-52.767117
4189.453125	-52.570259
4195.312500	-52.817131
4201.171875	-53.071815
4207.031250	-53.038067
4212.890625	-52.894306
4218.750000	-52.788223
4224.609375	-52.651455
4230.468750	-52.627731
4236.328125	-52.625416
4242.187500	-52.726910
4248.046875	-52.617226
4253.906250	-52.876381
4259.765625	-52.957966
4265.625000	-52.994911
4271.484375	-52.886673
4277.343750	-52.770306
4283.203125	-52.937241
4289.062500	-52.945972
4294.921875	-52.962887
4300.781250	-52.938858
4306.640625	-52.871353
4312.500000	-53.159714
4318.359375	-53.152447
4324.218750	-53.050358
4330.078125	-53.022259
4335.937500	-53.129833
4341.796875	-52.845821
4347.656250	-53.222679
4353.515625	-53.360901
4359.375000	-53.099064
4365.234375	-53.073467
4371.093750	-53.268108
4376.953125	-53.191071
4382.812500	-53.200253
4388.671875	-53.064800
4394.531250	-53.132069
4400.390625	-53.133400
4406.250000	-53.141308
4412.109375	-53.310097
4417.968750	-53.306728
4423.828125	-53.262970
4429.687500	-53.379456
4435.546875	-53.440506
4441.406250	-53.153130
4447.265625	-53.226959
4453.125000	-53.584892
4458.984375	-53.171940
4464.843750	-53.156654
4470.703125	-53.172050
4476.562500	-53.042309
4482.421875	-52.952141
4488.281250	-53.229942
