BEGIN (praclist)
//	OrigNr	SET	NRSYLL	CONSON	NR IN SET	COND	STIMULUS	LIST
	92,	23,	2,	"v/z+n",	4,	"N",	"geval, nazi, neuzen, gevang",		1;
	93,	24,	2,	"z/v+t",	1,	"B",	"zessen, vutter, vette, zullen",		1;
	94,	24,	2,	"z/v+t",	2,	"W",	"zeilen, votief, vitaal, zagen",		1;
	95,	24,	2,	"z/v+t",	3,	"S",	"bazin, tevoet, gevat, gazon",		1;
	96,	24,	2,	"z/v+t",	4,	"N",	"dozijn, tover, toeval, gezang",		1;
END (testlist 1)

BEGIN (testlist 2)								
//	OrigNr	SET	NRSYLL	CONSON	NR IN SET	COND	STIMULUS		LIST
	1,	1,	2,	"w/r+p",	1,	"B",	"water rapper roeper wallen",		2;
	2,	1,	2,	"w/r+p",	2,	"W",	"woeker rapport rapier wikkel",		2;
	3,	1,	2,	"w/r+p",	3,	"S",	"bewijs parijs poreus juweel",		2;
	4,	1,	2,	"w/r+p",	4,	"N",	"lawaai pieren parel gewin",		2;
	5,	2,	2,	"w/r+d",	1,	"B",	"waggel radar ridder wegen",		2;
	6,	2,	2,	"w/r+d",	2,	"W",	"woning radauw radijs wielen",		2;
	7,	2,	2,	"w/r+d",	3,	"S",	"gewoon direct dorien bewaar",		2;
	8,	2,	2,	"w/r+d",	4,	"N",	"gewis dieren duren beween",		2;
	9,	3,	2,	"n/m+l",	1,	"B",	"neder molen maken nodig",		2;
	10,	3,	2,	"n/m+l",	2,	"W",	"noten maleis meloen nuffig",		2;
	11,	3,	2,	"n/m+l",	3,	"S",	"benut lamel limiet genies",		2;
	12,	3,	2,	"n/m+l",	4,	"N",	"geniet lemmet lommer benul",		2;
	13,	4,	2,	"n/m+r",	1,	"B",	"nepper morren mieren nissan",		2;
	14,	4,	2,	"n/m+r",	2,	"W",	"nader merijn marien nimmer",		2;
	15,	4,	2,	"n/m+r",	3,	"S",	"teniet remous romein genoot",		2;
	16,	4,	2,	"n/m+r",	4,	"N",	"genot raming rommel genies",		2;
	17,	5,	2,	"b/v+z",	1,	"B",	"bakker vazen vezel boling",		2;
	18,	5,	2,	"b/v+z",	2,	"W",	"botter vazal vizier bitter",		2;
	19,	5,	2,	"b/v+z",	3,	"S",	"debut zovéél zovér tabak",		2;
	20,	5,	2,	"b/v+z",	4,	"N",	"gebod zuivel zever gebed",		2;
	21,	6,	2,	"v/b+l",	1,	"B",	"vader bellen builen veter",		2;
	22,	6,	2,	"v/b+l",	2,	"W",	"voeder ballon balein visser",		2;
	23,	6,	2,	"v/b+l",	3,	"S",	"gevat labiel libel devies",		2;
	24,	6,	2,	"v/b+l",	4,	"N",	"ravijn lebber lobben revier",		2;
	25,	7,	2,	"p/k+m",	1,	"B",	"pieter kamer kommer pooier",		2;
	26,	7,	2,	"p/k+m",	2,	"W",	"poging kameel komeet peiling",	2;
	27,	7,	2,	"p/k+m",	3,	"S",	"tepas mekaar makaak gepoch",		2;
	28,	7,	2,	"p/k+m",	4,	"N",	"kaping makker mocca keper",		2;
	29,	8,	2,	"k/p+t",	1,	"B",	"kajak pater peter ketter",		2;
	30,	8,	2,	"k/p+t",	2,	"W",	"koter patat potent kussen", 		2;
	31,	8,	2,	"k/p+t",	3,	"S",	"tekoop tapijt topaas bekeer",		2;
	32,	8,	2,	"k/p+t",	4,	"N",	"bekom tepel tapir tekijk",		2;
	33,	9,	2,	"l/r+k",	1,	"B",	"liever, rakker, rekel, ladder",		2;
	34,	9,	2,	"l/r+k",	2,	"W",	"logger, raket, rekest, lover",		2;
	35,	9,	2,	"l/r+k",	3,	"S",	"gelik, karos, koraal, beleg",		2;
	36,	9,	2,	"l/r+k",	4,	"N",	"belet, kerel, karig, meloen",		2;
	37,	10,	2,	"l/r+v",	1,	"B",	"lekker, raven, rover, loeder",		2;
	38,	10,	2,	"l/r+v",	2,	"W",	"lokker, ravijn, rivier, leiding",		2;
	39,	10,	2,	"l/r+v",	3,	"S",	"gelijk, varaan, viriel, beloop",		2;
	40,	10,	2,	"l/r+v",	4,	"N",	"geloof, virus, varen, zeloot",		2;
	41,	11,	2,	"j/l+t",	1,	"B",	"jekker, later, loting, jopper",		2;
	42,	11,	2,	"j/l+t",	2,	"W",	"juffer, latijn, letaal, jarig",		2;
	43,	11,	2,	"j/l+t",	3,	"S",	"gejacht, talent, teloor, gejuich",	2;
	44,	11,	2,	"j/l+t",	4,	"N",	"gejok, teler, tema, gejaagd",		2;
	45,	12,	2,	"j/l+p",	1,	"B",	"jager, loper, liepen, jokker",		2;
	46,	12,	2,	"j/l+p",	2,	"W",	"jammer, lapel, lipoom, joker",		2;
	47,	12,	2,	"j/l+p",	3,	"S",	"gejoel, paleis, poliep, bejuicht",	2;
	48,	12,	2,	"j/l+p",	4,	"N",	"bejaard, paling, peiler, gejouw",	2;
	49,	13,	1,	"d/j+r",	1,	"B",	"doof, jura, jarig, duit",		2;
	50,	13,	1,	"d/j+r",	2,	"W",	"dut, jorien, jeroen, doek",		2;
	51,	13,	1,	"d/j+r",	3,	"S",	"dos, rayon, royaal, dar",		2;
	52,	13,	1,	"d/j+r",	4,	"N",	"dun, redding, roedel, dom",		2;
	53,	14,	1,	"z/d+m",	1,	"B",	"zaal, dame, duimel, zak",		2;
	54,	14,	1,	"z/d+m",	2,	"W",	"zuig, domein, damast, zaal",		2;
